,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,34.5166122164045,11.689286841664993
1,1,2,1,2,2,0,1,1,0,1,35.76188386167799,10.838318535259793
2,1,2,2,2,1,0,1,1,0,1,36.720372039931156,17.700523226601735
3,1,2,2,2,2,0,1,1,0,1,34.862800516401016,14.90596627848489
4,2,1,1,2,2,0,1,1,0,1,28.960121130943303,2.2859427520207003
5,2,1,2,2,1,0,1,1,0,1,31.880213076727728,3.0353416715349466
6,2,1,2,2,2,0,1,1,0,1,29.217717518125266,2.3830421686172487
7,2,2,1,2,1,0,1,1,0,1,28.934562185832434,2.3750547817775183
8,2,2,1,2,2,0,1,1,0,1,28.766544822284153,2.1347011361803325
9,2,2,2,2,1,0,1,1,0,1,31.015709291185647,2.6658147232873097
10,1,1,1,2,2,0,1,1,0,2,41.113022855349946,3.0175238302775798
11,1,1,2,2,1,0,1,1,0,2,40.42557846818652,8.809324584688461
12,1,1,2,2,2,0,1,1,0,2,40.27578471388136,5.377563960211616
13,1,2,1,2,1,0,1,1,0,2,38.77770235879081,10.456737450190953
14,1,2,1,2,2,0,1,1,0,2,39.04540433543069,4.0841998747416906
15,1,2,2,2,1,0,1,1,0,2,39.08989120892116,15.064051372664313
16,2,1,1,2,1,0,1,1,0,2,30.26847537585667,2.7008763619831635
17,2,1,1,2,2,0,1,1,0,2,33.034199878147675,2.3357360226767403
18,2,1,2,2,1,0,1,1,0,2,31.81575560569763,2.4621951001031057
19,2,2,1,2,1,0,1,1,0,2,30.79727844170161,2.6343795537948607
20,1,1,1,2,2,0,1,2,0,1,32.314940612656734,2.25515455859048
21,1,1,2,2,1,0,1,2,0,1,33.184987633568895,6.5614456517355775
22,1,2,1,2,1,0,1,2,0,1,32.73405478681837,6.181175259181432
23,2,1,1,2,1,0,1,2,0,1,23.277013107708527,17.325651536669053
24,1,1,1,2,1,0,1,2,0,2,60.718632800238474,4.592272370202201
25,1,1,1,2,2,0,2,1,0,1,16.047720861434936,4.316294915335519
26,1,1,2,2,1,0,2,1,0,1,15.34923882825034,12.264618962151664
27,1,2,1,2,1,0,2,1,0,1,15.014318166460312,12.365580085345677
28,2,1,1,2,1,0,2,1,0,1,16.673343590327672,2.3766633204051426
29,1,1,1,2,1,0,2,1,0,2,59.81685279096876,7.628484518187388
30,1,1,1,2,1,0,2,2,0,1,17.045697392736162,5.201790598460606
31,1,1,1,2,2,1,1,0,0,2,31.47712571280343,2.9661185673304966
32,1,1,2,2,1,1,1,0,0,2,32.1544525384903,8.229196575709754
33,1,1,2,2,2,1,1,0,0,2,28.033110359736853,5.0901509966169085
34,1,2,1,2,1,1,1,0,0,2,35.99236698831832,7.903938347952707
35,1,2,1,2,2,1,1,0,0,2,26.971267451558795,3.1702603987285065
36,1,2,2,2,1,1,1,0,0,2,28.952096145493645,11.031693066869463
37,2,1,1,2,1,1,1,0,0,2,25.340731869425092,2.3083479404449463
38,2,1,1,2,2,1,1,0,0,2,22.914364433288576,2.358505862099784
39,2,1,2,2,1,1,1,0,0,2,26.180253560202466,2.4669613667896817
40,2,2,1,2,1,1,1,0,0,2,24.81832309450422,2.1391844476972306
41,2,0,2,2,2,1,1,1,0,1,29.68120433943612,2.92284130028316
42,2,2,0,2,2,1,1,1,0,1,29.579571795463558,2.504148639951433
43,2,2,2,2,0,1,1,1,0,1,29.833642312458586,51.88078111921039
44,1,0,2,2,2,1,1,1,0,2,37.375193299566,15.77849234172276
45,1,2,0,2,2,1,1,1,0,2,38.592986335073206,20.110464075633462
46,1,2,2,2,0,1,1,1,0,2,37.46923565864564,50.429013691629685
47,2,0,1,2,2,1,1,1,0,2,27.61817866734096,3.4936044148036407
48,2,0,2,2,1,1,1,1,0,2,30.98445935589927,2.963474430356707
49,2,1,0,2,2,1,1,1,0,2,28.81044899395534,2.5533977031707757
50,2,1,2,2,0,1,1,1,0,2,28.50299186706543,50.73812349523817
51,2,2,0,2,1,1,1,1,0,2,31.30868438652584,2.5897517578942435
52,2,2,1,2,0,1,1,1,0,2,27.13003866672516,50.60706998280117
53,1,0,1,2,2,1,1,2,0,1,46.04952558449337,7.675096852438791
54,1,0,2,2,1,1,1,2,0,1,31.70485986641475,12.890486570766996
55,1,1,0,2,2,1,1,2,0,1,32.67014413220541,4.827229493004936
56,1,1,2,2,0,1,1,2,0,1,30.46931720461164,49.8732024703707
57,1,2,0,2,1,1,1,2,0,1,32.566489580699375,12.811647439002993
58,1,2,1,2,0,1,1,2,0,1,30.630678142820088,49.750774707112996
59,2,0,1,2,1,1,1,2,0,1,25.02920127936772,5.905479339190893
60,2,1,0,2,1,1,1,2,0,1,25.366715611730303,5.727137514523097
61,2,1,1,2,0,1,1,2,0,1,23.480620278630933,51.06122030530657
62,1,0,1,2,1,1,1,2,0,2,29.007646996634346,7.630022382736206
63,1,1,0,2,1,1,1,2,0,2,30.884701279231482,9.450211409160069
64,1,1,1,2,0,1,1,2,0,2,30.58980608667646,50.51059596879141
65,1,1,1,2,2,1,2,0,0,1,15.907079645565574,2.2238194227218626
66,1,1,2,2,1,1,2,0,0,1,15.435021209716798,9.717480731010436
67,1,2,1,2,1,1,2,0,0,1,15.203661472456794,6.5166640213557665
68,2,1,1,2,1,1,2,0,0,1,16.95918232032231,2.4095940828323363
69,1,1,1,2,1,1,2,0,0,2,13.329714591162546,2.7171935353960306
70,1,0,1,2,2,1,2,1,0,1,14.07529228414808,16.501808275495254
71,1,0,2,2,1,1,2,1,0,1,14.278266562734329,23.37659131118229
72,1,1,0,2,2,1,2,1,0,1,13.054816154071267,16.42209224019732
73,1,1,2,2,0,1,2,1,0,1,14.027161274637495,52.07087369986943
74,1,2,0,2,1,1,2,1,0,1,15.598011844498773,26.820954939297266
75,1,2,1,2,0,1,2,1,0,1,13.809399257387431,50.569388089861185
76,2,0,1,2,1,1,2,1,0,1,14.862920015198846,4.215071402277265
77,2,1,0,2,1,1,2,1,0,1,15.869080873898096,5.189638093539647
78,2,1,1,2,0,1,2,1,0,1,15.913698032924108,50.73280506134033
79,1,0,1,2,1,1,2,1,0,2,14.213468394960675,16.563948243004933
80,1,1,0,2,1,1,2,1,0,2,14.668676669257028,17.44027018547058
81,1,1,1,2,0,1,2,1,0,2,14.507004829815454,51.2440550327301
82,1,1,2,2,1,0,1,1,0,3,38.660396446500506,6.970195388793945
83,1,2,1,2,1,0,1,1,0,3,38.10512954848153,7.525383717673164
84,1,2,2,2,2,0,1,1,0,3,38.81187909671238,7.958798919405256
85,2,1,1,2,1,0,1,1,0,3,59.24710728440966,2.3018005507332937
86,2,1,1,2,2,0,1,1,0,3,27.527639651298518,2.35684209891728
87,2,2,2,2,1,0,1,1,0,3,123.57665019375938,2.047533515521458
88,1,2,1,2,1,0,1,2,0,3,27.445913321631288,2.5083987678800312
89,2,1,1,2,1,0,1,2,0,3,23.442212315968103,2.3335849830082487
90,1,1,2,2,1,0,1,3,0,3,71.79076993124825,2.4314337832587105
91,1,1,2,2,2,0,1,3,0,3,23.909179864610945,2.156307979992458
92,1,2,2,2,1,0,1,3,0,3,43.515199974605025,4.943427549089704
93,2,1,2,2,1,0,1,3,0,3,21.102308358464924,2.1680994510650637
94,1,1,2,2,1,0,2,1,0,3,117.28736396176474,2.283019927569798
95,1,2,2,2,1,1,1,0,0,3,104.1648495878492,13.605244997569493
96,1,2,2,2,2,1,1,0,0,3,26.597070813179016,9.032740150179182
97,2,1,1,2,1,1,1,0,0,3,122.5825767993927,2.2987646886280606
98,2,1,1,2,2,1,1,0,0,3,22.87383753572191,2.2166766098567416
99,2,1,2,2,2,1,1,0,0,3,62.78771946089609,2.309885890143258
100,2,2,1,2,1,1,1,0,0,3,25.486962989398407,2.1927428279604233
101,1,0,2,2,2,1,1,1,0,3,37.731467441150116,15.187930665697369
102,1,2,0,2,2,1,1,1,0,3,66.45117759023394,7.842462066241673
103,1,2,2,2,0,1,1,1,0,3,61.22068160602024,50.56993306023734
104,1,2,2,2,2,1,1,1,0,3,58.79145028250558,8.299789248194013
105,2,0,1,2,2,1,1,1,0,3,44.97425999300821,2.5427912303379605
106,2,0,2,2,1,1,1,1,0,3,70.5773791210992,2.67838785648346
107,2,0,2,2,2,1,1,1,0,3,54.10322857243674,2.631956349100385
108,2,1,0,2,2,1,1,1,0,3,29.854051337923327,4.4614164863313945
109,2,1,2,2,0,1,1,1,0,3,47.74252618721553,51.67222537653787
110,2,1,2,2,2,1,1,1,0,3,51.56870949268341,2.2960139444896157
111,2,2,0,2,1,1,1,1,0,3,81.02890913145883,2.4642350503376558
112,2,2,0,2,2,1,1,1,0,3,62.35083852154868,2.5592530965805054
113,2,2,1,2,0,1,1,1,0,3,39.97078661578042,51.44412055356162
114,2,2,1,2,2,1,1,1,0,3,34.09374334471566,2.1742275169917518
115,2,2,2,2,0,1,1,1,0,3,27.20402253695897,51.441716762951444
116,1,0,2,2,1,1,1,2,0,3,28.475513335636684,11.387700080871582
117,1,2,0,2,1,1,1,2,0,3,27.720837528365003,11.483871068273272
118,1,2,1,2,0,1,1,2,0,3,27.45708445140293,50.71780662196023
119,2,0,1,2,1,1,1,2,0,3,22.116819265910557,5.734813955851964
120,1,0,1,2,1,1,1,3,0,3,25.46034120491573,6.304967379570007
121,1,0,1,2,2,1,1,3,0,3,25.73553111212594,5.6894136939729965
122,1,0,2,2,1,1,1,3,0,3,23.81489858286721,22.273467128617426
123,1,0,2,2,2,1,1,3,0,3,24.242763144629343,8.257559040614536
124,1,1,0,2,1,1,1,3,0,3,28.78715131964002,8.623195402962821
125,1,1,0,2,2,1,1,3,0,3,25.701938315800263,5.641044732502529
126,1,1,1,2,0,1,1,3,0,3,60.61332161085946,49.121997945649284
127,1,1,1,2,2,1,1,3,0,3,43.0024049792971,2.5791253089904784
128,1,1,2,2,0,1,1,3,0,3,53.09412484509603,50.630003244536255
129,1,1,2,2,1,1,1,3,0,3,65.20286435059138,6.729075152533394
130,1,1,2,2,2,1,1,3,0,3,83.84741518838067,2.193213994162423
131,1,2,0,2,1,1,1,3,0,3,84.30552257129125,2.7762269054140365
132,1,2,0,2,2,1,1,3,0,3,55.981229421070644,4.061776610783168
133,1,2,1,2,0,1,1,3,0,3,35.68051222392491,49.80651569707053
134,1,2,1,2,1,1,1,3,0,3,38.06827532904489,7.290759086608888
135,1,2,1,2,2,1,1,3,0,3,55.734880692618226,4.211032084056309
136,1,2,2,2,0,1,1,3,0,3,125.48599884169442,49.92561876773834
137,1,2,2,2,1,1,1,3,0,3,90.58835028580255,2.604907648903983
138,1,2,2,2,2,1,1,3,0,3,82.91410614762987,2.268648569924491
139,2,0,1,2,1,1,1,3,0,3,75.25754222869872,2.712096732003348
140,2,0,1,2,2,1,1,3,0,3,54.43417158126831,2.6857574292591644
141,2,0,2,2,1,1,1,3,0,3,26.42675810200827,2.7091738530567717
142,2,0,2,2,2,1,1,3,0,3,57.79980773585184,2.6848949636731834
143,2,1,0,2,1,1,1,3,0,3,81.43323485851288,2.532677105494908
144,2,1,0,2,2,1,1,3,0,3,62.428291153907786,2.5036871535437446
145,2,1,1,2,0,1,1,3,0,3,26.410675294058667,50.27275411060878
146,2,1,1,2,1,1,1,3,0,3,38.97592405251094,2.2996836185455316
147,2,1,1,2,2,1,1,3,0,3,41.40636005061013,2.2269805908203124
148,2,1,2,2,0,1,1,3,0,3,95.54863538401469,51.36230369295393
149,2,1,2,2,1,1,1,3,0,3,72.62300169127327,2.12371472290584
150,2,1,2,2,2,1,1,3,0,3,73.19067738056181,2.301332528250558
151,2,2,0,2,1,1,1,3,0,3,28.37023599488395,2.484160566329956
152,2,2,0,2,2,1,1,3,0,3,22.110188736234388,2.5055447714669365
153,2,2,1,2,0,1,1,3,0,3,53.756724650519224,50.78043131828308
154,2,2,1,2,1,1,1,3,0,3,103.64449492522648,2.038769384792873
155,2,2,1,2,2,1,1,3,0,3,79.8356212581907,2.170276134354728
156,2,2,2,2,0,1,1,3,0,3,59.10461952005114,50.946413009507324
157,2,2,2,2,1,1,1,3,0,3,33.999719565255305,2.1304118803569247
158,1,1,2,2,1,1,2,0,0,3,75.97675658634729,3.0439677136284966
159,2,1,1,2,1,1,2,0,0,3,29.155507247788574,24.47785187108176
160,1,0,1,2,1,1,2,1,0,3,13.037853458949494,14.938694878986905
161,1,0,1,2,2,1,2,1,0,3,12.939542858941214,11.542225272314887
162,1,0,2,2,1,1,2,1,0,3,27.235747800554552,32.040118653433666
163,1,1,0,2,1,1,2,1,0,3,13.436945165906634,15.446989185469489
164,1,1,0,2,2,1,2,1,0,3,13.913421079090664,13.129846215248108
